#,Company,Symbol,Weight,      Price,Chg,% Chg
1,Apple Inc.,AAPL,6.151855,   145.08,-0.03,(-0.02%)
2,Microsoft Corporation,MSFT,5.720618,   277.85,-0.09,(-0.03%)
3,Amazon.com Inc.,AMZN,4.379672,"   3,716.00",-3.34,(-0.09%)
4,Facebook Inc. Class A,FB,2.267526,   350.60,0.18,-0.05%
5,Alphabet Inc. Class A,GOOGL,2.059196,"   2,508.49",-1.88,(-0.07%)
6,Alphabet Inc. Class C,GOOG,2.014222,"   2,587.75",-3.74,(-0.14%)
7,Berkshire Hathaway Inc. Class B,BRK.B,1.422393,   280.49,0,0.00%
8,Tesla Inc,TSLA,1.377435,   655.80,-1.15,(-0.18%)
9,NVIDIA Corporation,NVDA,1.357935,   801.50,-0.51,(-0.06%)
10,JPMorgan Chase & Co.,JPM,1.250996,   155.77,0,0.00%
11,Johnson & Johnson,JNJ,1.219073,   169.75,0,0.00%
12,Visa Inc. Class A,V,1.096859,   238.47,0,0.00%
13,UnitedHealth Group Incorporated,UNH,1.0592,   412.11,0,0.00%
14,PayPal Holdings Inc,PYPL,0.948964,   300.50,0.29,-0.10%
15,Home Depot Inc.,HD,0.927296,   322.09,0,0.00%
16,Procter & Gamble Company,PG,0.918188,   137.03,0,0.00%
17,Mastercard Incorporated Class A,MA,0.887114,   372.94,0,0.00%
18,Walt Disney Company,DIS,0.85962,   177.04,0,0.00%
19,Bank of America Corp,BAC,0.800672,   40.04,0,0.00%
20,Adobe Inc.,ADBE,0.793851,   604.49,-0.01,(-0.00%)
21,Comcast Corporation Class A,CMCSA,0.730953,   57.99,-0.04,(-0.07%)
22,Exxon Mobil Corporation,XOM,0.697083,   61.23,0,0.00%
23,Netflix Inc.,NFLX,0.644332,   535.80,-0.18,(-0.03%)
24,Verizon Communications Inc.,VZ,0.631138,   56.07,0,0.00%
25,salesforce.com inc.,CRM,0.623187,   245.06,0,0.00%
26,Cisco Systems Inc.,CSCO,0.614561,   53.73,-0.01,(-0.02%)
27,Intel Corporation,INTC,0.612372,   56.00,0.01,-0.02%
28,Pfizer Inc.,PFE,0.601543,   39.65,0.04,-0.10%
29,Abbott Laboratories,ABT,0.580172,   119.74,0,0.00%
30,Coca-Cola Company,KO,0.575103,   54.46,0,0.00%
31,PepsiCo Inc.,PEP,0.566886,   149.50,0.02,-0.01%
32,AbbVie Inc.,ABBV,0.561722,   116.58,0,0.00%
33,NIKE Inc. Class B,NKE,0.560711,   161.00,0,0.00%
34,Thermo Fisher Scientific Inc.,TMO,0.558319,   517.26,0,0.00%
35,AT&T Inc.,T,0.550882,   28.45,0,0.00%
36,Chevron Corporation,CVX,0.542933,   104.07,0,0.00%
37,Merck & Co. Inc.,MRK,0.54157,   77.99,0,0.00%
38,Accenture Plc Class A,ACN,0.538042,   312.62,0,0.00%
39,Broadcom Inc.,AVGO,0.525134,   480.50,0.32,-0.07%
40,Walmart Inc.,WMT,0.524758,   140.30,0,0.00%
41,Eli Lilly and Company,LLY,0.51677,   234.99,0,0.00%
42,Costco Wholesale Corporation,COST,0.4927,   412.01,-0.36,(-0.09%)
43,Danaher Corporation,DHR,0.481408,   277.47,0,0.00%
44,Wells Fargo & Company,WFC,0.478318,   43.91,0,0.00%
45,Texas Instruments Incorporated,TXN,0.475967,   190.35,0.08,-0.04%
46,McDonald's Corporation,MCD,0.475689,   235.68,0,0.00%
47,Medtronic Plc,MDT,0.46967,   128.17,0,0.00%
48,Qualcomm Inc,QCOM,0.427096,   141.36,-0.07,(-0.05%)
49,Oracle Corporation,ORCL,0.425701,   87.76,0,0.00%
50,United Parcel Service Inc. Class B,UPS,0.419972,   213.92,0,0.00%
51,Philip Morris International Inc.,PM,0.419754,   99.45,0.05,-0.05%
52,Honeywell International Inc.,HON,0.417013,   224.55,0.21,-0.09%
53,Linde plc,LIN,0.41018,   292.71,0,0.00%
54,Bristol-Myers Squibb Company,BMY,0.408468,   67.16,0,0.00%
55,NextEra Energy Inc.,NEE,0.402569,   74.99,0,0.00%
56,Union Pacific Corporation,UNP,0.397106,   221.69,0,0.00%
57,Amgen Inc.,AMGN,0.385689,   245.25,0.05,-0.02%
58,Intuit Inc.,INTU,0.378872,   503.93,0,0.00%
59,Citigroup Inc.,C,0.377651,   68.45,0,0.00%
60,Starbucks Corporation,SBUX,0.373332,   117.69,0.22,-0.19%
61,Lowe's Companies Inc.,LOW,0.373158,   195.33,0,0.00%
62,Morgan Stanley,MS,0.357158,   90.33,0,0.00%
63,Boeing Company,BA,0.356363,   239.59,0,0.00%
64,Raytheon Technologies Corporation,RTX,0.354827,   86.38,0,0.00%
65,American Tower Corporation,AMT,0.34599,   278.45,0,0.00%
66,International Business Machines Corporation,IBM,0.343743,   141.52,0,0.00%
67,BlackRock Inc.,BLK,0.34009,   901.31,0,0.00%
68,Target Corporation,TGT,0.336697,   248.58,0,0.00%
69,Goldman Sachs Group Inc.,GS,0.334332,   371.76,0,0.00%
70,Applied Materials Inc.,AMAT,0.332419,   134.89,-0.01,(-0.01%)
71,Caterpillar Inc.,CAT,0.318124,   217.42,0,0.00%
72,3M Company,MMM,0.313848,   201.00,0,0.00%
73,Intuitive Surgical Inc.,ISRG,0.30862,   950.44,-0.34,(-0.04%)
74,General Electric Company,GE,0.308443,   13.16,0,0.00%
75,ServiceNow Inc.,NOW,0.302974,   566.37,0,0.00%
76,American Express Company,AXP,0.298786,   171.94,0,0.00%
77,Advanced Micro Devices Inc.,AMD,0.298531,   90.90,0,0.00%
78,Deere & Company,DE,0.294327,   349.48,0,0.00%
79,CVS Health Corporation,CVS,0.289166,   81.32,0,0.00%
80,Charter Communications Inc. Class A,CHTR,0.280341,   736.47,0,0.00%
81,Charles Schwab Corporation,SCHW,0.278995,   70.55,0,0.00%
82,S&P Global Inc.,SPGI,0.274444,   414.68,0,0.00%
83,Anthem Inc.,ANTM,0.257216,   388.61,0,0.00%
84,Zoetis Inc. Class A,ZTS,0.255858,   197.50,0,0.00%
85,Lockheed Martin Corporation,LMT,0.25441,   383.11,0,0.00%
86,Prologis Inc.,PLD,0.2489,   125.39,0,0.00%
87,Fidelity National Information Services Inc.,FIS,0.243075,   144.42,0,0.00%
88,Mondelez International Inc. Class A,MDLZ,0.242999,   63.02,0,0.00%
89,Booking Holdings Inc.,BKNG,0.242338,"   2,194.02",-0.97,(-0.04%)
90,Lam Research Corporation,LRCX,0.236769,   613.00,0.15,-0.02%
91,Micron Technology Inc.,MU,0.236755,   78.68,-0.06,(-0.08%)
92,Crown Castle International Corp,CCI,0.236723,   201.72,0,0.00%
93,Stryker Corporation,SYK,0.236168,   264.43,0,0.00%
94,Automatic Data Processing Inc.,ADP,0.236141,   204.59,0.87,-0.43%
95,Altria Group Inc,MO,0.235912,   47.40,0,0.00%
96,T-Mobile US Inc.,TMUS,0.235631,   146.48,0.47,-0.32%
97,Gilead Sciences Inc.,GILD,0.232537,   68.10,-0.12,(-0.18%)
98,TJX Companies Inc,TJX,0.220801,   68.36,0,0.00%
99,ConocoPhillips,COP,0.219279,   60.39,0.26,-0.43%
100,Cigna Corporation,CI,0.217409,   234.90,0,0.00%
101,PNC Financial Services Group Inc.,PNC,0.212418,   189.67,0,0.00%
102,Duke Energy Corporation,DUK,0.211327,   100.66,0,0.00%
103,U.S. Bancorp,USB,0.205655,   56.97,0,0.00%
104,CME Group Inc. Class A,CME,0.203725,   209.62,0,0.00%
105,Equinix Inc.,EQIX,0.203142,   806.76,-13.56,(-1.65%)
106,Becton Dickinson and Company,BDX,0.199338,   249.80,0,0.00%
107,Estee Lauder Companies Inc. Class A,EL,0.199104,   317.87,0,0.00%
108,Marsh & McLennan Companies Inc.,MMC,0.196585,   142.60,0,0.00%
109,FedEx Corporation,FDX,0.195994,   296.40,0,0.00%
